"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jonah Savaiinaea","St. Louis School (Honolulu, HI)","6-3",330,89,NA,21,3,"HI","IOL",2022,"arizona","Commit",2
"Noah Fifita","Servite (Anaheim, CA)","5-10",170,87,NA,40,53,"CA","QB",2022,"arizona","Commit",4
"AJ Jones","Colony (Ontario, CA)","6-4",195,87,NA,98,54,"CA","WR",2022,"arizona","Commit",4
"Isaiah Ward","Colony (Ontario, CA)","6-6",230,87,NA,52,69,"CA","Edge",2022,"arizona","Commit",4
"Tacario Davis","Millikan (Long Beach, CA)","6-2",185,85,NA,104,97,"CA","CB",2022,"arizona","Commit",7
"Tyler Powell","Brophy College Preparatory (Phoenix, AZ)","6-7",240,85,NA,75,17,"AZ","TE",2022,"arizona","Commit",7
"Russell Davis II","Hamilton (Chandler, AZ)","6-3",215,85,NA,70,19,"AZ","Edge",2022,"arizona","Commit",7
"Grayson Stovall","Hamilton (Chandler, AZ)","6-4",281,85,NA,52,20,"AZ","IOL",2022,"arizona","Commit",7
"Tyler Martin","Buckingham Browne & Nichols School (Cambridge, MA)","6-3",238,85,NA,118,8,"MA","LB",2022,"arizona","Commit",7
"Jacob Manu","Servite (Anaheim, CA)","5-11",210,84,NA,143,128,"CA","LB",2022,"arizona","Commit",5
"Jai-Ayviauynn Celestine","Miami Palmetto (Miami, FL)","5-9.5",175,84,NA,107,180,"FL","ATH",2022,"arizona","Commit",5
"Wendell Moe Jr.","Long Beach Poly (Long Beach, CA)","6-3",330,84,NA,78,148,"CA","IOL",2022,"arizona","Commit",5
"Jacob Reece","Brighton (Salt Lake City, UT)","6-5",295,84,NA,80,27,"UT","IOL",2022,"arizona","Commit",5
"Ta'ita'i Uiagalelei","Mater Dei (Santa Ana, CA)","6-4",255,84,NA,85,152,"CA","Edge",2022,"arizona","Commit",5
"Isaiah Johnson","Chandler (Chandler, AZ)","6-2",275,83,NA,191,29,"AZ","DL",2022,"arizona","Commit",4
"Jermaine Wiggins Jr","Bridgton Academy (Bridgton, ME)","6-4",230,83,NA,198,1,"ME","ATH",2022,"arizona","Commit",4
"D.J. Williams",NA,"5-10",213,85,NA,NA,NA,NA,"RB",2022,"arizona","Transfer",7
"Jack Buford",NA,"6-3",326,83,NA,NA,NA,NA,"OT",2022,"arizona","Transfer",4
"Tiaoalii Savea",NA,"6-4",275,88,NA,NA,NA,NA,"DL",2022,"arizona","Transfer",2
"Jayden de Laura",NA,"6-0",190,88,NA,NA,NA,NA,"QB",2022,"arizona","Transfer",2
"Anthony Solomon",NA,"6-0",190,87,NA,NA,NA,NA,"LB",2022,"arizona","Transfer",4
"Jacob Cowing",NA,"5-10",175,92,NA,NA,NA,NA,"WR",2022,"arizona","Transfer",2
"Hunter Echols",NA,"6-5",245,83,NA,NA,NA,NA,"Edge",2022,"arizona","Transfer",4
"DJ Warnell Jr.",NA,"6-1",201,85,NA,NA,NA,NA,"S",2022,"arizona","Transfer",7
"Leviticus Su'a","Mater Dei (Santa Ana, CA)","6-1.5",225,90,NA,34,27,"CA","LB",2023,"arizona","Commit",2
"Brayden Dorman","Vista Ridge (Colorado Springs, CO)","6-4.5",206,90,NA,23,2,"CO","QB",2023,"arizona","Commit",2
"Genesis Smith","Hamilton (Chandler, AZ)","6-2",188,88,NA,53,11,"AZ","S",2023,"arizona","Commit",5
"Raymond Pulido","Apple Valley (Apple Valley, CA)","6-6",345,88,NA,56,49,"CA","OT",2023,"arizona","Commit",5
"Dorian Thomas","Kentridge (Kent, WA)","6-4",220,88,NA,29,9,"WA","TE",2023,"arizona","Commit",5
"Devin Hyatt","IMG Academy (Bradenton, FL)","6-2",194,88,NA,91,102,"FL","WR",2023,"arizona","Commit",5
"Malachi Riley","Centennial (Corona, CA)","6-2",178,87,NA,104,70,"CA","WR",2023,"arizona","Commit",9
"Brandon Johnson","Highland (Palmdale, CA)","5-9",185,87,NA,46,73,"CA","RB",2023,"arizona","Commit",9
