"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Rafal Szymanski","New Mexico Military Institute (Roswell, NM)","6-4",230,79,115,6,2,"NM","WDE",2021,"houston","Commit",1
"Kody Russey",NA,"6-1",284,82,NA,NA,NA,NA,"IOL",2021,"houston","Transfer",3
"Latrell Bankston",NA,"6-0",300,83,NA,NA,NA,NA,"DT",2021,"houston","Transfer",4
"Tre Williams",NA,"6-4",220,81,NA,NA,NA,NA,"WDE",2021,"houston","Transfer",1
"Matthew Golden","Klein Cain (Houston, TX)","6-0",190,93,150,25,25,"TX","WR",2022,"houston","Commit",1
"Moses Alexander","Kilgore College (Kilgore, TX)","6-2",190,90,5,2,1,"TX","CB",2022,"houston","Commit",2
"CJ Nelson","Richland (North Richland Hills, TX)","6-0",175,89,NA,68,64,"TX","WR",2022,"houston","Commit",2
"Anthony Holmes Jr.","Westfield (Houston, TX)","6-2",293,87,NA,90,98,"TX","DL",2022,"houston","Commit",5
"Dorian Friend","Spring High (Spring, TX)","5-9",160,87,NA,67,107,"TX","CB",2022,"houston","Commit",5
"Treylin Payne","Judson (Converse, TX)","6-0",200,87,NA,78,115,"TX","LB",2022,"houston","Commit",5
"Demetrius Hunter","West Orange-Stark (Orange, TX)","6-2",315,87,NA,37,120,"TX","IOL",2022,"houston","Commit",5
"Zykeius Strong","Hutchinson C.C. (Hutchinson, KS)","6-6",255,87,15,1,3,"KS","Edge",2022,"houston","Commit",5
"Trent McGaughey","Conroe (Conroe, TX)","6-3",224,85,NA,71,155,"TX","TE",2022,"houston","Commit",7
"Tevin Shaw","Manvel (Manvel, TX)","6-5",285,85,NA,64,174,"TX","IOL",2022,"houston","Commit",7
"Nadame Tucker","Hutchinson C.C. (Hutchinson, KS)","6-3",235,85,42,7,16,"KS","Edge",2022,"houston","Commit",7
"Amipeleasi Langi Jr","Independence C.C. (Independence, KS)","6-6",335,85,48,9,17,"KS","DL",2022,"houston","Commit",7
"Justice Ugo","Blinn College (Brenham, TX)","6-3",186,85,54,7,6,"TX","S",2022,"houston","Commit",7
"Karson Jones","Frenship (Wolfforth, TX)","6-5",290,84,NA,160,210,"TX","OT",2022,"houston","Commit",1
"Bryan Henry","Belton (Belton, TX)","6-3",230,83,NA,107,227,"TX","TE",2022,"houston","Commit",3
"Logan Compton","New Mexico Military Institute (Roswell, NM)","6-5",240,83,86,2,4,"NM","TE",2022,"houston","Commit",3
"Abdul-Lateef Audu","College of the Canyons (Valencia, CA)","6-0",185,83,109,18,20,"CA","CB",2022,"houston","Commit",3
"Trevor Helburg","Crosby (Crosby, TX)","6-0",175,79,NA,8,300,"TX","K",2022,"houston","Commit",1
