"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jordan Banks","Narbonne (Harbor City, CA)","6-1",228,92,224,13,19,"CA","OLB",2020,"arizona-state","Commit",2
"Chip Trayanum","Archbishop Hoban (Akron, OH)","5-11",220,90,NA,22,6,"OH","RB",2020,"arizona-state","Commit",3
"Chad Johnson Jr.","Cathedral (Los Angeles, CA)","6-2",190,90,NA,61,33,"CA","WR",2020,"arizona-state","Commit",3
"D.J. Taylor","Tampa Catholic (Tampa, FL)","5-10",185,90,NA,31,49,"FL","S",2020,"arizona-state","Commit",3
"Caleb McCullough","Pacifica (Oxnard, CA)","6-2",203,89,NA,19,37,"CA","ILB",2020,"arizona-state","Commit",2
"Omarr Norman-Lott","Grant Union (Sacramento, CA)","6-2.5",295,89,NA,32,38,"CA","DT",2020,"arizona-state","Commit",2
"Ed Woods","McClymonds (Oakland, CA)","6-0",175,88,NA,37,51,"CA","S",2020,"arizona-state","Commit",1
"Will Shaffer","Saguaro (Scottsdale, AZ)","6-1",210,87,NA,23,15,"AZ","ILB",2020,"arizona-state","Commit",2
"Joe Moore","Cardinal Ritter College Prep (St. Louis, MO)","6-4",250,87,NA,34,8,"MO","SDE",2020,"arizona-state","Commit",2
"Rachaad White","Mt. San Antonio College (Walnut, CA)","6-1",197,86,50,5,12,"CA","RB",2020,"arizona-state","Commit",2
"Daylin McLemore","Junipero Serra (San Mateo, CA)","6-3",195,85,NA,27,100,"CA","DUAL",2020,"arizona-state","Commit",3
"T Lee","Buford (Buford, GA)","5-11",172,85,NA,78,105,"GA","S",2020,"arizona-state","Commit",3
"Macen Williams","Narbonne (Harbor City, CA)","5-10.5",165,85,NA,97,107,"CA","CB",2020,"arizona-state","Commit",3
"Ben Bray","Red Mountain (Mesa, AZ)","6-5",275,84,NA,111,29,"AZ","OG",2020,"arizona-state","Commit",3
"Jacob Nunez","Lompoc (Lompoc, CA)","6-3",285,84,NA,91,141,"CA","OG",2020,"arizona-state","Commit",3
